airline,dep_airport,arr_airport,aircraft_type,month,day_of_week,dep_hour,weather_severity,wind_speed,visibility,congestion,distance,prev_delay,delay_minutes,is_delayed
F9,DEN,SFO,A320,10,6,8,8,40,2.9,8,2716,75,23,1
NK,SEA,MCO,A321,11,1,16,7,68,3.9,2,2231,18,24,1
F9,DTW,PHX,A319,7,3,7,4,59,7.4,7,1881,28,21,1
WN,DTW,LGA,A321,6,3,17,2,63,5.5,10,1552,11,16,1
WN,SEA,MSP,737MAX,6,1,9,1,74,8.9,9,556,68,14,0
F9,DFW,ATL,737,5,5,22,3,3,5.8,9,730,15,10,0
AS,DTW,MCO,777,4,0,10,9,59,2.6,7,410,88,21,1
NK,MSP,MCO,A321,8,5,13,3,66,5.8,2,2253,72,15,0
DL,EWR,MIA,E175,3,3,20,7,32,2.2,7,1193,35,12,0
B6,LGA,EWR,737MAX,11,5,10,5,59,5.9,8,2326,52,23,1
UA,ORD,LAX,A350,6,5,21,1,56,6.2,2,1624,88,11,0
F9,MSP,PHX,737,6,0,11,6,43,7.0,3,2175,77,14,0
AA,DEN,SFO,E175,10,0,8,9,7,9.5,6,2956,24,18,1
WN,DEN,ORD,A320,4,4,19,7,0,2.1,3,920,25,12,0
NK,EWR,LGA,A380,1,2,7,2,77,4.7,5,306,10,20,1
B6,BOS,DFW,A380,6,4,15,1,14,4.7,1,2466,31,10,0
AA,MSP,LAX,A320,6,2,12,3,31,0.4,9,1376,80,13,0
AA,JFK,DEN,A380,7,2,19,1,43,6.3,6,2950,25,12,0
DL,LAX,JFK,A319,2,3,10,4,71,6.4,4,2475,12,19,1
B6,DEN,PHX,A380,10,4,17,5,59,4.1,10,1160,78,11,0
F9,DEN,JFK,777,2,6,14,9,0,2.2,4,2917,34,15,0
B6,ATL,SFO,737,2,6,9,9,56,9.8,3,2904,14,18,1
AS,LGA,MCO,777,7,2,14,5,51,6.5,3,2718,84,13,0
UA,DEN,BOS,A320,4,4,19,7,6,3.4,4,2713,45,5,0
NK,MIA,DFW,737MAX,1,0,10,7,30,8.3,3,1328,29,13,0
AS,DTW,BOS,787,7,3,14,7,74,1.0,8,912,4,17,1
F9,LAX,DTW,787,12,6,14,10,44,2.6,7,2885,13,20,1
DL,ATL,MCO,777,8,6,9,6,58,5.9,3,982,58,12,0
DL,BOS,CLT,A320,3,3,21,3,12,7.9,6,462,58,10,0
NK,ORD,BOS,A319,8,4,22,4,28,4.6,10,2698,74,16,1
WN,CLT,MIA,E175,10,0,9,3,13,2.4,7,2471,45,8,0
NK,EWR,MIA,787,7,2,16,1,1,0.6,9,554,7,17,1
UA,PHX,ATL,A320,10,2,8,4,2,9.8,10,1366,76,8,0
WN,ATL,ORD,A320,9,2,18,3,51,2.1,8,606,20,19,1
NK,LAX,CLT,737MAX,10,0,22,10,22,2.0,7,812,87,21,1
AA,LGA,EWR,A321,12,6,5,9,71,3.9,8,1675,84,32,1
F9,BOS,JFK,A319,7,3,7,2,20,3.9,10,187,41,10,0
UA,LAX,MCO,A321,9,2,21,10,28,9.3,7,842,50,11,0
UA,DTW,SEA,E175,11,2,19,8,53,2.1,6,2074,64,21,1
WN,ATL,JFK,777,6,2,17,1,44,4.1,2,2989,52,18,1
AA,MSP,SFO,787,5,0,20,6,70,5.9,8,520,6,20,1
AS,PHX,EWR,A320,1,0,11,6,59,9.0,3,1262,71,7,0
B6,MCO,MSP,737MAX,11,1,12,6,53,5.1,10,2114,85,16,1
AA,MIA,DEN,E175,11,6,8,4,15,3.1,2,389,65,16,1
NK,MIA,SEA,A350,6,3,22,3,25,8.5,4,1974,7,3,0
AA,LAS,MCO,777,1,1,5,5,54,2.2,3,1712,24,5,0
NK,MSP,LAX,737MAX,4,1,16,8,57,4.5,3,1794,71,15,0
B6,JFK,CLT,A321,1,3,15,2,31,8.8,4,2205,75,11,0
AS,ATL,MSP,A319,8,1,20,6,23,3.4,9,2503,20,12,0
F9,DFW,BOS,A319,8,4,5,5,67,0.5,8,814,8,20,1
AA,LAX,ORD,A320,2,4,7,2,58,1.1,9,2447,13,15,0
DL,PHX,DTW,A320,12,5,9,3,33,9.5,5,2646,32,2,0
F9,DTW,ATL,787,7,4,17,10,71,1.6,4,508,10,22,1
F9,DEN,LGA,A321,10,1,9,9,34,5.9,10,2226,1,18,1
AS,MIA,EWR,737,3,3,21,1,76,4.7,10,1505,66,10,0
AS,CLT,DFW,A380,11,2,5,5,74,9.2,7,1929,23,8,0
NK,JFK,SFO,777,10,5,14,3,37,2.4,10,1410,51,9,0
UA,MCO,MIA,A319,3,5,8,3,28,0.7,5,2917,42,8,0
UA,DEN,EWR,A319,10,4,10,2,25,3.7,6,450,46,11,0
UA,ORD,PHX,E175,7,6,15,4,49,7.8,9,2545,45,12,0
UA,LGA,SEA,A320,7,3,13,6,20,6.0,8,2246,49,10,0
DL,LAX,DEN,A319,1,1,9,9,45,0.4,8,862,64,23,1
AA,MSP,LAS,A321,11,2,20,2,74,9.7,3,1442,23,24,1
AA,SEA,SFO,A321,9,2,21,4,7,8.6,6,2676,41,4,0
NK,DEN,JFK,777,2,2,14,8,50,8.5,2,667,39,14,0
WN,LGA,BOS,A350,12,5,7,8,27,8.8,5,2971,88,16,1
DL,ORD,SFO,A320,10,1,9,7,29,6.8,6,1647,14,9,0
DL,MSP,MIA,737MAX,4,3,20,5,5,2.9,3,1079,46,15,0
AS,CLT,DFW,737,12,1,12,9,30,5.9,10,751,83,26,1
DL,EWR,DTW,A320,11,1,9,1,42,3.5,7,1356,76,14,0
NK,JFK,SEA,A321,8,2,6,7,21,1.8,6,1995,23,15,0
UA,LGA,MSP,A321,3,2,12,10,38,3.5,1,2456,31,12,0
NK,MSP,LAS,A319,8,4,20,6,12,4.9,5,1472,29,7,0
NK,ATL,LAS,737,10,2,6,1,3,7.5,9,2822,89,10,0
DL,DTW,BOS,A319,3,5,9,2,8,1.7,10,1644,40,14,0
F9,MSP,CLT,E175,7,5,8,2,43,6.0,4,2842,85,16,1
AS,CLT,DFW,E175,11,2,12,5,47,8.7,10,1027,61,19,1
B6,PHX,SFO,E175,12,6,18,9,55,0.6,6,1638,37,24,1
WN,DEN,JFK,A380,2,0,13,5,9,5.9,4,1538,26,6,0
DL,MSP,MIA,A380,3,6,19,9,16,3.6,6,2386,24,19,1
AS,SEA,BOS,E175,1,5,12,8,7,8.1,10,2938,14,15,0
F9,ORD,DTW,A350,9,0,18,6,74,8.1,6,1098,79,21,1
UA,MCO,BOS,A350,8,0,8,10,65,6.2,9,391,49,14,0
UA,DTW,JFK,737,11,3,8,7,2,8.4,3,1421,37,19,1
WN,JFK,EWR,A321,6,2,12,1,13,9.1,10,2112,33,6,0
AS,MIA,MCO,E175,6,1,7,2,19,7.4,9,2462,32,8,0
F9,CLT,MCO,777,10,5,9,10,6,9.4,10,1444,78,16,1
AS,LAX,MIA,A319,9,3,19,5,4,4.6,10,2846,45,18,1
B6,LGA,CLT,A320,2,1,19,1,19,9.5,1,419,25,5,0
AS,MIA,PHX,A350,6,1,9,8,27,7.7,1,2926,88,19,1
UA,MIA,MCO,A321,7,6,22,10,71,5.0,4,1301,63,25,1
UA,EWR,LAX,737,8,3,17,3,62,9.6,7,2687,27,14,0
AA,MCO,LAX,737,9,0,10,4,50,8.6,6,857,89,17,1
AS,BOS,SFO,737,4,6,19,3,1,4.9,5,1204,11,12,0
UA,MSP,DEN,A321,11,6,18,8,35,2.9,2,1283,78,23,1
UA,LGA,PHX,A319,3,0,10,8,78,6.1,10,1351,78,27,1
B6,EWR,DEN,A319,6,4,14,3,18,4.5,2,393,31,5,0
NK,EWR,LAS,E175,5,4,22,9,18,4.8,5,677,25,15,0
AS,SFO,EWR,A319,12,6,12,7,47,8.4,4,532,47,11,0
F9,DEN,ORD,A350,5,0,17,1,36,9.0,10,920,30,6,0
WN,ORD,BOS,E175,2,3,13,2,58,5.3,10,2222,6,11,0
DL,CLT,MSP,A320,9,5,16,3,59,2.1,6,1918,44,15,0
UA,DTW,ORD,E175,1,4,18,9,16,1.8,2,923,13,19,1
AS,PHX,JFK,A380,6,6,15,8,25,1.6,1,2792,85,23,1
DL,MIA,SEA,A321,11,6,6,10,54,4.0,6,516,76,29,1
B6,DEN,PHX,A350,6,1,18,8,38,5.2,10,1272,57,23,1
DL,MSP,CLT,A380,8,2,19,6,78,8.0,10,448,15,21,1
NK,ORD,JFK,A380,6,4,16,2,7,5.8,5,740,1,13,0
UA,LAS,DTW,737,6,5,12,4,31,6.0,8,1905,48,9,0
NK,PHX,MSP,777,5,0,5,8,64,8.7,5,2755,83,19,1
NK,MSP,LAS,A321,10,5,8,7,78,7.4,10,2801,81,22,1
AA,MSP,ATL,A321,12,6,9,1,9,3.0,7,1066,43,15,0
AA,PHX,DEN,787,5,3,16,6,73,4.0,2,2191,40,23,1
DL,DEN,JFK,737,11,2,7,4,40,3.6,7,688,76,17,1
NK,EWR,DEN,737MAX,8,5,12,1,58,0.7,8,2207,57,9,0
DL,MSP,MCO,737,5,5,21,9,4,0.6,4,2025,0,6,0
UA,CLT,LGA,A319,5,5,14,10,38,9.8,6,757,41,14,0
DL,LGA,BOS,787,9,5,19,7,10,3.7,1,2836,59,12,0
NK,CLT,LGA,A320,11,0,21,6,46,4.2,8,1258,88,14,0
NK,DTW,CLT,E175,2,0,8,8,68,9.9,5,2950,68,18,1
F9,PHX,ATL,A350,2,1,20,1,39,5.8,10,972,72,18,1
AA,JFK,BOS,A319,8,4,10,4,59,5.6,10,187,13,18,1
AS,MIA,ORD,737MAX,10,6,6,9,35,5.3,9,2386,82,21,1
AS,CLT,LAS,A350,12,5,17,8,10,3.2,10,1361,2,10,0
B6,LGA,JFK,787,7,1,15,9,43,9.7,4,2103,55,22,1
UA,MSP,EWR,A350,8,2,17,6,41,3.7,6,1725,16,14,0
WN,BOS,MIA,E175,7,0,10,7,17,9.5,5,2531,18,4,0
NK,DEN,SFO,E175,6,6,8,10,25,8.7,8,760,55,31,1
F9,LAX,MCO,777,10,5,10,7,33,1.4,10,1396,14,16,1
NK,EWR,BOS,787,3,4,9,4,10,0.8,4,2442,32,21,1
DL,CLT,DFW,A380,1,6,15,5,43,2.5,7,2190,67,13,0
WN,BOS,MIA,A319,10,4,5,8,45,1.5,7,2204,21,22,1
WN,DTW,ATL,A319,2,0,10,5,8,8.5,10,1733,76,10,0
UA,CLT,MSP,A319,8,6,16,5,10,9.5,10,1861,16,15,0
UA,DEN,PHX,737MAX,1,1,14,9,73,5.3,1,1052,81,18,1
AS,PHX,ORD,A350,5,1,18,10,65,2.2,5,310,0,16,1
B6,PHX,DFW,A320,5,5,14,2,27,8.5,5,1458,13,0,0
NK,SFO,BOS,777,7,5,16,10,55,2.7,4,2663,39,28,1
DL,ORD,BOS,A321,3,4,11,5,46,1.2,8,2889,86,13,0
F9,SEA,LAS,A319,1,3,14,8,50,4.3,10,2933,7,20,1
B6,PHX,ORD,787,12,3,17,7,79,6.5,2,1906,51,16,1
B6,SEA,LGA,A319,1,2,7,3,46,5.7,8,1400,41,10,0
UA,PHX,MIA,E175,9,6,12,3,48,9.0,6,2429,6,4,0
B6,CLT,LGA,737,10,4,6,5,29,0.3,3,774,38,14,0
B6,PHX,ORD,A319,12,5,16,2,49,1.2,4,2762,86,21,1
AS,LAS,JFK,737MAX,11,5,13,5,78,4.0,4,463,39,12,0
WN,PHX,LGA,A350,2,2,19,9,36,5.4,7,423,45,13,0
WN,MCO,PHX,A350,10,2,13,7,72,4.2,9,1328,74,15,0
NK,MSP,DEN,A320,11,0,9,6,6,6.3,10,1738,67,17,1
DL,DFW,PHX,A350,4,3,19,6,21,7.3,4,1108,80,11,0
AA,ATL,SEA,A380,9,1,8,3,57,8.0,9,1960,16,9,0
AS,DEN,JFK,787,1,2,13,6,3,6.8,5,1584,47,6,0
NK,LAS,MIA,737MAX,7,1,14,6,26,6.5,4,2835,61,2,0
DL,CLT,MCO,737MAX,2,5,13,7,28,4.7,3,2156,81,15,0
WN,SEA,LAS,E175,2,5,15,6,12,1.2,1,696,24,18,1
F9,DFW,SFO,737MAX,2,3,9,5,70,2.8,3,311,51,11,0
WN,DFW,ATL,A321,9,6,18,6,16,1.0,8,730,32,18,1
B6,MCO,LAX,737MAX,4,0,20,5,47,9.6,6,1919,1,12,0
B6,ATL,SFO,777,1,5,13,10,3,2.5,10,2219,11,8,0
AA,DFW,BOS,A350,7,1,17,4,73,3.5,10,2163,51,25,1
F9,DTW,PHX,A320,12,2,9,5,59,8.2,10,891,34,17,1
DL,LGA,CLT,A380,11,2,14,3,54,4.5,7,1472,55,12,0
B6,SEA,ATL,737,8,2,16,4,12,4.6,1,2846,74,11,0
NK,SFO,ORD,A320,11,0,15,8,20,3.1,8,529,66,25,1
NK,LAS,EWR,A350,9,3,17,6,46,2.7,7,2804,71,14,0
B6,MCO,SFO,A350,8,0,20,7,42,8.0,2,529,2,10,0
WN,CLT,LAS,A320,1,1,8,8,22,5.9,5,2864,21,16,1
WN,PHX,DFW,A320,2,5,9,4,34,7.0,2,1893,17,10,0
F9,SFO,MCO,777,10,3,20,1,5,7.0,10,373,40,17,1
NK,MCO,LGA,737MAX,7,1,6,10,74,2.2,4,2953,81,29,1
F9,ORD,SFO,777,12,4,10,6,55,1.6,1,2197,68,20,1
UA,LGA,BOS,737MAX,3,5,14,9,16,8.6,5,2130,6,14,0
AS,MSP,JFK,A321,6,2,18,10,79,7.2,8,2639,43,16,1
WN,BOS,PHX,777,11,2,19,2,8,7.9,6,929,17,15,0
WN,BOS,MSP,737,1,6,5,2,74,8.6,4,660,18,12,0
DL,CLT,MIA,A350,4,6,8,4,33,7.0,2,2948,26,11,0
AA,ORD,MSP,A319,11,0,12,9,24,5.8,3,2101,80,10,0
WN,PHX,DTW,A319,4,3,21,9,62,7.5,4,1755,6,7,0
F9,MSP,ATL,737,7,2,12,1,37,5.4,6,1033,41,7,0
NK,SEA,SFO,A320,9,0,15,2,74,8.6,4,1839,7,19,1
AA,DEN,MIA,A321,3,1,5,2,23,2.0,10,2887,8,14,0
B6,DTW,MCO,737MAX,2,5,11,8,9,5.2,8,1380,46,4,0
NK,DFW,BOS,777,3,1,11,3,69,8.5,6,2252,77,13,0
AA,ATL,MSP,A350,11,3,6,5,65,9.9,2,2864,21,15,0
DL,PHX,EWR,A350,2,3,10,1,52,4.0,6,1842,85,11,0
F9,LAS,PHX,A321,5,3,5,9,78,7.8,2,2038,40,21,1
WN,LAX,EWR,A319,5,5,6,7,49,1.3,5,2087,75,22,1
DL,LAS,CLT,737MAX,5,1,10,4,70,5.6,1,2646,75,12,0
B6,EWR,BOS,A321,8,2,11,1,7,3.2,8,1731,6,3,0
B6,DFW,SFO,737MAX,12,1,16,3,38,1.2,3,856,67,12,0
NK,SEA,ATL,787,3,5,6,8,73,9.4,6,1620,41,20,1
WN,LAX,EWR,A320,5,1,11,8,19,2.5,5,1582,58,15,0
F9,LAS,SFO,A321,10,2,15,10,49,3.9,9,782,60,23,1
NK,ATL,EWR,777,12,2,7,8,20,8.1,3,977,23,11,0
NK,BOS,ORD,A350,12,2,22,7,43,0.7,4,315,50,25,1
DL,CLT,DEN,A320,11,0,9,1,36,8.0,10,1814,32,9,0
UA,ORD,DFW,A320,7,5,5,2,59,2.3,1,1792,20,19,1
UA,EWR,PHX,777,6,5,14,10,37,2.9,10,2757,39,15,0
UA,BOS,MIA,777,2,6,7,5,44,3.6,3,2811,49,20,1
F9,DTW,BOS,A321,1,4,6,4,38,0.6,3,553,20,7,0
AS,JFK,SEA,737,10,0,20,8,4,1.9,10,649,59,22,1
NK,MCO,MSP,A319,7,2,7,10,68,3.6,7,994,13,18,1
WN,MIA,PHX,A321,6,0,16,7,67,6.9,3,396,70,16,1
AA,LAX,SEA,A320,10,1,17,10,28,0.5,3,954,56,14,0
AS,BOS,MSP,737,1,2,8,8,9,0.3,10,2037,37,17,1
AA,LAX,DEN,777,2,2,8,7,43,7.7,2,862,12,8,0
NK,EWR,MCO,E175,1,1,13,7,15,5.0,10,1867,62,16,1
UA,PHX,ORD,A320,10,6,5,5,45,5.9,6,999,5,10,0
NK,MIA,EWR,777,10,1,6,4,1,9.4,3,977,58,10,0
NK,LAS,SEA,A319,4,3,8,6,54,5.8,9,2511,57,17,1
NK,SEA,PHX,737,7,3,22,9,77,8.7,4,1530,68,21,1
AS,LAS,MCO,A321,5,2,9,5,70,3.1,8,2894,68,15,0
B6,DFW,DTW,A321,7,2,8,6,37,1.0,1,430,87,15,0
F9,CLT,SFO,737MAX,2,0,7,5,0,9.9,10,795,11,11,0
B6,PHX,EWR,787,2,2,10,7,27,8.7,3,2689,82,6,0
F9,CLT,MCO,A321,3,6,20,5,18,5.9,1,698,59,13,0
UA,MCO,SFO,E175,6,4,6,2,51,0.4,3,1606,33,8,0
WN,CLT,DTW,737,1,6,17,6,68,0.4,1,1218,78,15,0
NK,MSP,DTW,A350,11,3,17,6,8,8.6,5,1395,66,9,0
AS,ORD,MIA,737MAX,12,2,8,9,41,7.6,8,1658,50,13,0
AA,CLT,SEA,A321,7,5,7,2,22,4.2,10,620,21,10,0
WN,MCO,JFK,737MAX,9,5,20,8,4,8.9,7,322,75,10,0
F9,MSP,SFO,E175,4,2,14,9,74,2.4,3,2361,76,25,1
UA,BOS,CLT,787,12,0,10,8,11,1.6,1,1853,35,17,1
AS,SEA,CLT,A319,4,0,9,9,73,7.1,1,400,0,12,0
NK,SFO,CLT,787,7,4,18,9,7,8.0,3,682,57,21,1
AA,LAS,JFK,737,1,2,10,3,25,5.8,9,2827,84,3,0
AS,LAX,MIA,A350,6,2,12,1,38,1.4,8,2823,67,21,1
B6,CLT,PHX,A350,11,0,9,2,34,3.4,7,2009,89,10,0
F9,SFO,LGA,A380,6,3,10,3,49,8.5,7,766,4,10,0
WN,SFO,ORD,777,5,6,17,7,26,1.5,1,506,84,18,1
WN,DTW,DEN,A321,1,6,5,3,71,0.8,5,2740,0,26,1
AS,LAS,ORD,737,11,6,15,2,18,3.0,7,882,85,14,0
WN,SEA,MSP,A321,7,2,19,9,5,0.8,7,1939,35,11,0
WN,MCO,PHX,A319,3,1,9,7,4,4.5,9,510,3,13,0
AS,SFO,ATL,777,6,2,15,7,66,9.2,1,1206,38,15,0
WN,PHX,LGA,A380,11,0,13,4,1,3.1,4,1884,26,10,0
WN,ATL,PHX,737MAX,7,2,14,10,6,6.2,2,1806,19,8,0
NK,SFO,LAX,E175,3,1,19,10,31,7.8,8,337,77,24,1
DL,DTW,ATL,737,11,0,7,10,56,7.7,8,1349,58,17,1
UA,SEA,CLT,A320,7,5,20,9,78,0.3,8,2893,24,29,1
AA,EWR,LGA,787,2,4,18,5,62,7.0,8,1346,58,15,0
NK,BOS,DFW,737MAX,4,5,19,5,39,8.2,7,2498,83,22,1
F9,DTW,LAX,737,12,2,9,5,33,2.0,4,715,72,20,1
UA,LAX,BOS,A380,4,4,21,9,71,4.3,10,497,79,26,1
AA,MIA,SFO,A320,11,6,9,6,28,7.2,9,2678,67,11,0
WN,BOS,JFK,A380,2,3,16,5,67,4.2,7,187,6,20,1
F9,MIA,LGA,A320,5,2,8,7,12,2.4,7,1258,56,12,0
WN,JFK,MSP,A321,10,3,13,8,14,2.3,5,937,8,18,1
F9,LGA,DFW,A321,8,0,11,7,59,9.5,3,856,68,19,1
NK,LAX,DEN,A350,11,4,15,5,31,6.0,7,862,47,16,1
AS,LGA,SFO,E175,6,6,16,4,1,1.6,9,2021,47,19,1
B6,CLT,MSP,A380,12,2,22,10,69,8.5,9,2964,78,18,1
AA,MSP,MCO,737,8,6,15,3,55,0.6,2,318,56,24,1
B6,SFO,MSP,737MAX,3,0,11,6,8,5.7,10,1710,51,4,0
NK,SEA,MIA,777,5,6,15,8,36,4.6,1,1222,23,14,0
B6,SEA,ORD,A319,1,2,19,8,44,6.4,4,1950,84,20,1
DL,LGA,EWR,787,6,0,13,6,4,1.1,9,1840,19,21,1
WN,LAX,MIA,A321,5,3,18,8,66,3.1,10,1847,78,25,1
WN,MIA,LAX,A350,1,6,19,3,33,7.4,2,1427,88,8,0
AS,DEN,MIA,A321,8,1,13,1,61,4.9,6,2656,31,13,0
WN,CLT,ATL,787,2,6,6,8,64,5.1,9,857,35,28,1
NK,DFW,LAX,A321,12,2,17,2,54,7.4,2,1881,1,16,1
DL,JFK,LAS,737,6,5,21,6,69,0.5,9,1009,80,20,1
F9,SFO,LGA,A320,10,6,14,7,63,9.3,10,2443,8,12,0
B6,MCO,SFO,A380,2,5,9,2,68,6.6,4,2106,89,13,0
AA,CLT,LGA,787,2,0,12,9,20,6.9,9,2064,64,14,0
NK,BOS,SEA,737MAX,3,4,9,9,67,5.6,7,2231,23,18,1
AS,SFO,MSP,A319,5,1,10,2,68,7.6,3,2424,47,13,0
NK,LAX,DFW,777,4,1,19,5,22,2.2,3,2706,31,19,1
DL,CLT,DTW,737,3,2,8,6,7,7.4,8,1376,63,6,0
DL,DEN,PHX,777,4,3,8,6,36,3.0,9,451,9,16,1
AS,ATL,DFW,777,8,6,14,7,17,1.9,8,730,81,17,1
UA,JFK,LAX,A350,7,1,16,6,31,7.6,1,2475,20,11,0
WN,SEA,LAS,737MAX,12,2,21,8,62,5.9,10,548,2,23,1
UA,ATL,ORD,A321,9,2,12,6,19,8.8,5,606,6,2,0
AS,DEN,EWR,A380,4,1,21,2,8,0.3,6,701,21,12,0
UA,MCO,SFO,A380,10,3,20,5,27,4.9,1,1132,12,9,0
WN,MIA,SEA,A350,4,5,14,4,4,0.8,1,2422,26,6,0
WN,DTW,LAX,737MAX,5,5,5,7,53,6.2,7,1879,45,15,0
DL,EWR,MCO,A320,12,6,17,3,18,5.3,3,1346,12,12,0
NK,BOS,LAX,A380,11,0,13,6,28,4.1,8,1587,46,2,0
WN,SEA,LAS,787,8,5,22,1,49,2.1,10,1930,19,18,1
F9,LAS,ORD,A321,2,2,10,3,18,4.6,8,1572,56,2,0
AA,MIA,LAS,787,10,4,12,2,67,8.5,9,1657,23,17,1
UA,SFO,DFW,A319,2,0,22,7,62,5.8,7,2595,86,16,1
UA,PHX,MSP,A319,3,6,7,7,44,4.4,4,1819,43,19,1
AA,MIA,DTW,E175,4,5,22,1,38,6.6,8,2067,59,4,0
WN,DEN,LAX,787,5,1,13,7,29,4.0,10,862,42,17,1
DL,PHX,MIA,A319,5,5,21,6,73,5.9,2,626,3,10,0
AS,LAX,DFW,737,12,6,14,7,24,6.0,3,1008,39,9,0
WN,MSP,SEA,A319,7,5,9,1,61,5.7,9,2339,75,21,1
B6,ATL,ORD,777,6,0,12,6,54,9.2,10,606,3,16,1
B6,PHX,SEA,737,4,6,11,9,25,3.2,8,941,25,18,1
DL,DTW,ATL,A320,5,4,10,2,13,7.3,10,1577,74,12,0
B6,MIA,DEN,A321,7,1,22,8,1,4.0,1,1540,57,13,0
AS,LAS,MCO,A321,12,4,9,7,62,2.5,4,2845,15,14,0
DL,LAX,DEN,737MAX,4,0,10,4,38,4.8,2,862,53,7,0
AA,MIA,BOS,737,2,3,17,7,65,6.9,2,300,22,15,0
AS,CLT,LAX,A320,4,3,7,4,48,5.8,5,670,24,15,0
AA,MIA,MCO,A350,5,5,6,3,54,3.1,4,538,68,15,0
AA,LGA,MIA,737MAX,7,1,21,3,27,0.6,5,2660,50,16,1
WN,JFK,DEN,A350,7,0,5,2,3,6.7,8,1286,49,7,0
NK,ORD,MCO,A319,12,6,12,1,73,9.4,7,315,67,22,1
AA,MSP,ATL,A380,11,4,21,9,66,8.1,4,1413,87,24,1
AS,MCO,LAX,A350,4,0,20,3,52,6.0,4,2109,35,17,1
WN,MSP,DEN,A380,9,5,19,5,24,8.5,5,1905,47,14,0
WN,BOS,EWR,A350,5,1,7,5,52,8.7,3,1847,46,14,0
B6,ATL,PHX,A320,3,0,22,7,29,9.3,8,1120,3,1,0
AA,CLT,PHX,A380,8,4,20,2,29,6.1,7,1480,40,9,0
UA,JFK,LAX,A321,6,1,6,3,28,2.1,8,2475,32,18,1
F9,DTW,LGA,A319,7,4,13,2,55,7.3,7,1488,71,15,0
AA,ATL,PHX,A380,7,4,11,1,23,2.1,3,1696,31,11,0
AS,JFK,ATL,737MAX,11,1,7,10,53,8.1,3,584,24,11,0
AA,MSP,LGA,A350,11,3,17,4,20,0.8,5,1410,51,17,1
B6,MIA,LGA,787,11,0,15,3,37,4.6,7,2856,56,15,0
DL,MSP,BOS,737MAX,8,4,12,2,10,8.2,10,2867,71,9,0
UA,JFK,DFW,777,5,3,20,1,27,4.2,6,2654,32,15,0
DL,ATL,SFO,777,12,2,15,2,79,3.1,1,1387,13,12,0
AA,PHX,LAS,A380,9,5,10,5,56,4.8,4,2125,65,12,0
AS,DTW,LGA,787,7,0,18,4,13,0.5,4,892,31,9,0
AA,DTW,LAS,A319,10,5,20,9,50,6.8,7,2032,71,26,1
F9,EWR,ATL,787,7,3,6,9,44,1.1,1,568,77,13,0
B6,DTW,CLT,A320,1,1,16,9,69,9.0,6,2642,57,21,1
UA,MCO,ATL,777,11,5,7,8,41,0.8,7,377,82,25,1
B6,MIA,LAS,A319,9,1,16,6,37,8.0,6,404,80,10,0
AA,ORD,LGA,A321,11,1,12,2,51,8.6,7,1288,43,12,0
WN,JFK,DFW,787,2,2,8,2,62,1.5,8,2371,57,17,1
NK,JFK,LGA,777,4,4,11,6,52,9.1,9,2505,21,11,0
DL,SFO,BOS,737,7,5,18,10,63,4.7,7,1338,18,21,1
UA,PHX,MCO,787,7,1,18,7,16,9.9,2,1424,29,6,0
WN,ORD,MCO,A320,11,6,13,10,0,8.2,9,2727,75,17,1
B6,LGA,MCO,A321,7,2,16,4,4,8.6,10,2152,44,10,0
NK,LAX,LAS,737MAX,12,0,8,4,79,7.0,2,2390,76,19,1
AS,LAX,EWR,777,2,3,17,7,57,3.1,5,319,34,18,1
AA,PHX,MCO,A321,6,3,20,1,41,0.7,9,1208,53,14,0
WN,CLT,EWR,E175,5,2,5,10,58,2.7,8,1402,10,16,1
AA,LAX,PHX,A350,4,5,20,5,64,0.4,9,2527,80,21,1
F9,ATL,BOS,777,5,4,22,6,5,7.7,7,2234,63,16,1
AA,DTW,ORD,A380,10,6,12,8,31,8.6,1,408,11,12,0
WN,DTW,MSP,777,3,3,21,2,41,6.7,5,1555,59,7,0
B6,DEN,LAX,777,12,3,6,6,18,9.2,1,862,23,14,0
F9,JFK,DFW,A321,1,6,22,3,60,6.6,6,2023,36,16,1
B6,BOS,SFO,A320,7,0,12,2,16,1.1,10,577,44,11,0
UA,LAX,DEN,A319,1,5,14,10,56,8.1,9,862,73,19,1
WN,LAS,SEA,E175,1,1,21,6,65,9.6,5,1875,55,13,0
NK,DEN,ATL,737MAX,4,0,13,1,21,8.4,1,626,22,2,0
UA,MCO,ATL,A320,4,1,14,1,76,6.6,2,2442,60,16,1
UA,CLT,SFO,A319,8,1,19,3,73,2.1,6,1736,18,17,1
B6,LAS,SEA,737,12,5,9,3,54,2.6,8,1952,41,14,0
B6,ORD,PHX,787,12,3,5,10,17,9.3,4,1590,81,17,1
F9,CLT,SFO,A380,5,0,7,5,49,1.3,1,972,15,22,1
F9,PHX,DTW,737MAX,7,0,5,2,58,4.3,9,1442,29,9,0
DL,DEN,ATL,737MAX,8,0,18,4,21,4.5,7,2808,29,11,0
UA,PHX,ATL,787,10,4,15,9,79,2.4,7,1446,62,25,1
AA,DEN,SFO,A380,6,4,10,1,32,5.7,8,980,41,16,1
WN,LAX,SFO,A350,1,6,19,5,1,2.8,10,337,9,13,0
F9,PHX,DTW,737,8,6,16,9,56,6.6,8,2679,72,21,1
WN,DFW,EWR,E175,5,5,10,2,67,7.1,7,1492,5,6,0
UA,SFO,MCO,A320,12,6,13,8,50,4.9,10,2318,10,25,1
